Bacterial_associate_taxa,Found_in_16S-CC,Found_in_BSS,Found_in_previous_work,Fungal_host_taxa,Link,Source
Achromobacter,Yes,No,Yes,Trichoderma,https://doi.org/10.1111/1574-6968.12287,Isolation of oxalotrophic bacteria able to disperse on fungal mycelium
Acinetobacter,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Agrococcus,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Azospirillum,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Bacillus,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Bacteroides,Yes,No,Yes,Mucor,https://doi.org/10.1016/j.fgb.2016.07.011,Fungus-associated bacteriome in charge of their host behavior
Bradyrhizobium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Brevundimonas,Yes,No,Yes,Mucor,https://doi.org/10.1016/j.fgb.2016.07.011,Fungus-associated bacteriome in charge of their host behavior
Chryseobacterium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Citrobacter,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Clostridium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Comamonas,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Corynebacterium,Yes,No,Yes,Suillus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
