Bacterial_associate_taxa,Found_in_16S-CC,Found_in_BSS,Found_in_previous_work,Fungal_host_taxa,Link,Source,Bacterial_associate_taxa_taxid,Fungal_host_taxa_taxid,Bacterial_phylum,Fungal_phylum,bact_id,fung_id,bact_phylum_id,fung_phylum_id
Achromobacter,Yes,No,Yes,Trichoderma,https://doi.org/10.1111/1574-6968.12287,Isolation of oxalotrophic bacteria able to disperse on fungal mycelium,222,5543,Proteobacteria,Ascomycota,0,678,1025,1050
Acinetobacter,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",469,5506,Proteobacteria,Ascomycota,1,679,1025,1050
Agrococcus,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",46352,5506,Actinobacteria,Ascomycota,2,679,109,1050
Azospirillum,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",191,5506,Proteobacteria,Ascomycota,3,679,1025,1050
Bacillus,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",1386,5506,Firmicutes,Ascomycota,4,679,119,1050
Bacteroides,Yes,No,Yes,Mucor,https://doi.org/10.1016/j.fgb.2016.07.011,Fungus-associated bacteriome in charge of their host behavior,816,4830,Bacteroidota,Mucoromycota,5,680,1028,1051
Bradyrhizobium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",374,5506,Proteobacteria,Ascomycota,6,679,1025,1050
Brevundimonas,Yes,No,Yes,Mucor,https://doi.org/10.1016/j.fgb.2016.07.011,Fungus-associated bacteriome in charge of their host behavior,41275,4830,Proteobacteria,Mucoromycota,7,680,1025,1051
Chryseobacterium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",59732,5506,Bacteroidota,Ascomycota,8,679,1028,1050
Citrobacter,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",544,5506,Proteobacteria,Ascomycota,9,679,1025,1050
