Bacterial_associate_taxa,Class,Family,Fungal_host_taxa,Genus,Order,Phylum,Superkingdom
Achromobacter,Betaproteobacteria,Alcaligenaceae,Trichoderma,Achromobacter,Burkholderiales,Proteobacteria,Bacteria
Acinetobacter,Gammaproteobacteria,Moraxellaceae,Fusarium,Acinetobacter,Moraxellales,Proteobacteria,Bacteria
Agrococcus,Actinomycetia,Microbacteriaceae,Fusarium,Agrococcus,Micrococcales,Actinobacteria,Bacteria
Azospirillum,Alphaproteobacteria,Azospirillaceae,Fusarium,Azospirillum,Rhodospirillales,Proteobacteria,Bacteria
Bacillus,Bacilli,Bacillaceae,Fusarium,Bacillus,Bacillales,Firmicutes,Bacteria
Bacteroides,Bacteroidia,Bacteroidaceae,Mucor,Bacteroides,Bacteroidales,Bacteroidota,Bacteria
Bradyrhizobium,Alphaproteobacteria,Nitrobacteraceae,Fusarium,Bradyrhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Brevundimonas,Alphaproteobacteria,Caulobacteraceae,Mucor,Brevundimonas,Caulobacterales,Proteobacteria,Bacteria
Chryseobacterium,Flavobacteriia,Weeksellaceae,Fusarium,Chryseobacterium,Flavobacteriales,Bacteroidota,Bacteria
Citrobacter,Gammaproteobacteria,Enterobacteriaceae,Fusarium,Citrobacter,Enterobacterales,Proteobacteria,Bacteria
Clostridium,Clostridia,Clostridiaceae,Fusarium,Clostridium,Eubacteriales,Firmicutes,Bacteria
Comamonas,Betaproteobacteria,Comamonadaceae,Fusarium,Comamonas,Burkholderiales,Proteobacteria,Bacteria
Corynebacterium,Actinomycetia,Corynebacteriaceae,Suillus,Corynebacterium,Corynebacteriales,Actinobacteria,Bacteria
Curtobacterium,Actinomycetia,Microbacteriaceae,Fusarium,Curtobacterium,Micrococcales,Actinobacteria,Bacteria
Delftia,Betaproteobacteria,Comamonadaceae,Fusarium,Delftia,Burkholderiales,Proteobacteria,Bacteria
Dyella,Gammaproteobacteria,Rhodanobacteraceae,Fusarium,Dyella,Xanthomonadales,Proteobacteria,Bacteria
Enterobacter,Gammaproteobacteria,Enterobacteriaceae,Fusarium,Enterobacter,Enterobacterales,Proteobacteria,Bacteria
Granulicatella,Bacilli,Carnobacteriaceae,Fusarium,Granulicatella,Lactobacillales,Firmicutes,Bacteria
Haemophilus,Gammaproteobacteria,Pasteurellaceae,Phoma,Haemophilus,Pasteurellales,Proteobacteria,Bacteria
Lactobacillus,Bacilli,Lactobacillaceae,Fusarium,Lactobacillus,Lactobacillales,Firmicutes,Bacteria
Lactococcus,Bacilli,Streptococcaceae,Fusarium,Lactococcus,Lactobacillales,Firmicutes,Bacteria
Lysobacter,Gammaproteobacteria,Xanthomonadaceae,Trichoderma,Lysobacter,Xanthomonadales,Proteobacteria,Bacteria
Massilia,Betaproteobacteria,Oxalobacteraceae,Fusarium,Massilia,Burkholderiales,Proteobacteria,Bacteria
Massilia,Betaproteobacteria,Oxalobacteraceae,Penicillium,Massilia,Burkholderiales,Proteobacteria,Bacteria
Mesorhizobium,Alphaproteobacteria,Phyllobacteriaceae,Fusarium,Mesorhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Microbacterium,Actinomycetia,Microbacteriaceae,Fusarium,Microbacterium,Micrococcales,Actinobacteria,Bacteria
Mycobacterium,Actinomycetia,Mycobacteriaceae,Mucor,Mycobacterium,Corynebacteriales,Actinobacteria,Bacteria
Novosphingobium,Alphaproteobacteria,Sphingomonadaceae,Fusarium,Novosphingobium,Sphingomonadales,Proteobacteria,Bacteria
Pelomonas,Betaproteobacteria,Comamonadaceae,Fusarium,Pelomonas,Burkholderiales,Proteobacteria,Bacteria
Propionibacterium,Actinomycetia,Propionibacteriaceae,Fusarium,Propionibacterium,Propionibacteriales,Actinobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Fusarium,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Penicillium,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Rhodococcus,Actinomycetia,Nocardiaceae,Fusarium,Rhodococcus,Corynebacteriales,Actinobacteria,Bacteria
Rothia,Actinomycetia,Micrococcaceae,Fusarium,Rothia,Micrococcales,Actinobacteria,Bacteria
Sphingomonas,Alphaproteobacteria,Sphingomonadaceae,Phoma,Sphingomonas,Sphingomonadales,Proteobacteria,Bacteria
Stenotrophomonas,Gammaproteobacteria,Xanthomonadaceae,Fusarium,Stenotrophomonas,Xanthomonadales,Proteobacteria,Bacteria
Streptococcus,Bacilli,Streptococcaceae,Fusarium,Streptococcus,Lactobacillales,Firmicutes,Bacteria
Variovorax,Betaproteobacteria,Comamonadaceae,Trichoderma,Variovorax,Burkholderiales,Proteobacteria,Bacteria
Acinetobacter,Gammaproteobacteria,Moraxellaceae,Amanita,Acinetobacter,Moraxellales,Proteobacteria,Bacteria
Agrobacterium,Alphaproteobacteria,Rhizobiaceae,Trichoderma,Agrobacterium,Hyphomicrobiales,Proteobacteria,Bacteria
Bradyrhizobium,Alphaproteobacteria,Nitrobacteraceae,Xylaria,Bradyrhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Staphylococcus,Bacilli,Staphylococcaceae,Xylaria,Staphylococcus,Bacillales,Firmicutes,Bacteria
Stenotrophomonas,Gammaproteobacteria,Xanthomonadaceae,Tricholoma,Stenotrophomonas,Xanthomonadales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Trichoderma,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Stenotrophomonas,Gammaproteobacteria,Xanthomonadaceae,Trichoderma,Stenotrophomonas,Xanthomonadales,Proteobacteria,Bacteria
Mycoplasma,Mollicutes,Mycoplasmataceae,Fusarium,Mycoplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Claroideoglomus,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Gigaspora,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Claroideoglomus,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Funneliformis,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Scutellospora,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Rhizophagus,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Glomus,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Dentiscutata,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Cetraspora,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Racocetra,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Ambispora,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Geosiphon,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Jimgerdemannia,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Endogone,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Mortierella,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Lobosporangium,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Burkholderia,Betaproteobacteria,Burkholderiaceae,Fusarium,Burkholderia,Burkholderiales,Proteobacteria,Bacteria
Mycoavidus,Betaproteobacteria,Burkholderiaceae,Mortierella,Mycoavidus,Burkholderiales,Proteobacteria,Bacteria
Microbacterium,Actinomycetia,Microbacteriaceae,Agaricus,Microbacterium,Micrococcales,Actinobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Agaricus,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Ewingella,Gammaproteobacteria,Yersiniaceae,Agaricus,Ewingella,Enterobacterales,Proteobacteria,Bacteria
Enterobacter,Gammaproteobacteria,Enterobacteriaceae,Agaricus,Enterobacter,Enterobacterales,Proteobacteria,Bacteria
