Bacterial_associate_taxa,Class,Family,Fungal_host_taxa,Genus,Order,Phylum,Superkingdom
Achromobacter,Sordariomycetes,Hypocreaceae,Trichoderma,Trichoderma,Hypocreales,Ascomycota,Eukaryota
Acinetobacter,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Agrococcus,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Azospirillum,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Bacillus,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Bacteroides,Mucoromycetes,Mucoraceae,Mucor,Mucor,Mucorales,Mucoromycota,Eukaryota
Bradyrhizobium,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Brevundimonas,Mucoromycetes,Mucoraceae,Mucor,Mucor,Mucorales,Mucoromycota,Eukaryota
Chryseobacterium,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Citrobacter,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Clostridium,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Comamonas,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Corynebacterium,Agaricomycetes,Suillaceae,Suillus,Suillus,Boletales,Basidiomycota,Eukaryota
Curtobacterium,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Delftia,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Dyella,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Enterobacter,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Granulicatella,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Haemophilus,Dothideomycetes,Didymellaceae,Phoma,Phoma,Pleosporales,Ascomycota,Eukaryota
Lactobacillus,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Lactococcus,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Lysobacter,Sordariomycetes,Hypocreaceae,Trichoderma,Trichoderma,Hypocreales,Ascomycota,Eukaryota
Massilia,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Massilia,Eurotiomycetes,Aspergillaceae,Penicillium,Penicillium,Eurotiales,Ascomycota,Eukaryota
Mesorhizobium,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Microbacterium,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Mycobacterium,Mucoromycetes,Mucoraceae,Mucor,Mucor,Mucorales,Mucoromycota,Eukaryota
Novosphingobium,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Pelomonas,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Propionibacterium,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Pseudomonas,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Pseudomonas,Eurotiomycetes,Aspergillaceae,Penicillium,Penicillium,Eurotiales,Ascomycota,Eukaryota
Rhodococcus,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Rothia,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Sphingomonas,Dothideomycetes,Didymellaceae,Phoma,Phoma,Pleosporales,Ascomycota,Eukaryota
Stenotrophomonas,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Streptococcus,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Variovorax,Sordariomycetes,Hypocreaceae,Trichoderma,Trichoderma,Hypocreales,Ascomycota,Eukaryota
Acinetobacter,Agaricomycetes,Amanitaceae,Amanita,Amanita,Agaricales,Basidiomycota,Eukaryota
Agrobacterium,Sordariomycetes,Hypocreaceae,Trichoderma,Trichoderma,Hypocreales,Ascomycota,Eukaryota
Bradyrhizobium,Sordariomycetes,Xylariaceae,Xylaria,Xylaria,Xylariales,Ascomycota,Eukaryota
Staphylococcus,Sordariomycetes,Xylariaceae,Xylaria,Xylaria,Xylariales,Ascomycota,Eukaryota
Stenotrophomonas,Agaricomycetes,Tricholomataceae,Tricholoma,Tricholoma,Agaricales,Basidiomycota,Eukaryota
Pseudomonas,Sordariomycetes,Hypocreaceae,Trichoderma,Trichoderma,Hypocreales,Ascomycota,Eukaryota
Stenotrophomonas,Sordariomycetes,Hypocreaceae,Trichoderma,Trichoderma,Hypocreales,Ascomycota,Eukaryota
Mycoplasma,Sordariomycetes,Nectriaceae,Fusarium,Fusarium,Hypocreales,Ascomycota,Eukaryota
Candidatus Moeniiplasma,Glomeromycetes,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus,Glomerales,Mucoromycota,Eukaryota
Candidatus Moeniiplasma,Glomeromycetes,Gigasporaceae,Gigaspora,Gigaspora,Diversisporales,Mucoromycota,Eukaryota
